lh,rh,ls,rs,w,ll,rl
109.2,3091.6,2507.28,2618.9904,321,7398.24,702.48
103.9,3082.7,2497.92,2484.456,309,7375.2,676.08
98.7,3072.3,2486.64,2326.9896,308,7336.08,652.8
95.8,3031,2467.08,2096.1408,292,7377.6,657.84
95.4,2865.9,2487.6,2362.152,280,7182.48,582.24
98.4,2285.2,2416.56,1463.2176,247,6908.88,561.12
116,1492.9,2508.36,2626.6344,269,4511.28,638.64
187.1,659.4,2507.16,2609.8176,267,3533.28,775.44
367.6,357.5,2472.96,2184.8112,276,1223.04,1105.44
625.8,227.2,2463.48,2070.1512,258,981.12,2834.4
1255.2,173.1,2490.84,2432.4768,231,847.2,6258.72
2284.5,152.2,2508.48,2649.5664,218,714,7102.32
2934.3,134.7,2496.72,2623.5768,225,634.08,7326.24
3056.8,123.3,2458.8,2122.1304,239,572.4,7370.16
3073.4,119.3,2476.8,2357.5656,256,520.56,7295.28
3042,114.5,2438.76,1859.1768,229,469.2,7376.4
3079.9,116.4,2483.64,2440.1208,227,463.44,7398.96
3092.4,120.5,2498.88,2632.7496,232,444.96,7352.64
3076.3,124.7,2481.12,2383.5552,229,431.28,7335.84
3085.6,129.1,2491.68,2524.2048,232,445.2,7018.56
3068.8,140.6,2479.68,2241.3768,229,454.56,6019.68
2698.7,222.6,2453.28,2004.4128,237,580.56,4939.68
1560.5,450.4,2492.52,2498.2152,301,716.16,2920.56
641.9,605.1,2402.88,1360.788,329,1791.12,2636.4
332.6,1427.4,2427,1645.1448,301,5571.12,2176.56
229.2,2179.6,2502.48,2576.184,291,7325.04,1872.96
148.8,2541.1,2483.52,2297.9424,302,7298.64,1511.28
118,2961.9,2448,1834.716,277,7405.2,1283.76
105.6,3085.5,2501.52,2455.4088,294,7415.52,1067.76
101.6,3091,2506.56,2608.2888,280,7276.32,914.64
96.2,3033.1,2436.72,1718.5272,295,7410.24,834.96
94.8,3089.4,2504.28,2570.0688,311,7363.68,754.08
92.8,3070.1,2481.36,2273.4816,293,7310.4,673.2
95.9,3053.7,2461.68,2028.8736,272,7014.72,644.64
97.8,3090.4,2505.96,2589.9432,260,5150.88,654.96
106.8,2987.6,2412.24,1403.5944,279,3993.36,817.68
162.7,2781.2,2499.36,2501.2728,295,1701.12,943.68
258.3,1459.5,2497.32,2469.168,294,924,2783.76
510,506.3,2471.4,2140.476,244,837.12,5988.24
997.3,318.9,2465.28,2077.7952,195,671.28,7203.12
