lh,rh,ls,rs,w,ll,rl
51.5,66.3,2472.48,1811.04,143,114.8,171.3333333
50.7,68.1,2474.52,1809.08,141,115,169.6666667
49.4,66.9,2441.64,1201.48,138,114.2,173
49.4,67.5,2507.28,2124.64,139,117.4,170
48.2,66.6,2451.36,1283.8,136,116.8,172.3333333
48.8,67.2,2496.6,2034.48,136,119.4,170.3333333
48.5,66.4,2469.12,1650.32,134,119.6,169.3333333
48.6,65.5,2451.24,1348.48,132,120.6,172.3333333
49.9,66,2498.04,2132.48,133,123,172
49.9,65.6,2481.6,2120.72,133,124.2,169.6666667
51,64.9,2347.68,1326.92,131,124.2,171
52.3,64.9,2037.6,1818.88,136,126.8,169.3333333
52.3,64.5,1759.56,1234.8,137,127,170.6666667
52.4,65.2,1262.04,1632.68,140,130.4,172.6666667
52.1,65.9,1084.44,2167.76,145,133.2,172.3333333
51.5,65.6,958.32,1846.32,147,132.6,172.6666667
50.7,66.6,971.64,1368.08,144,130.8,175.3333333
52.8,68.6,1008.72,1856.12,142,131.6,175.3333333
52.8,69.8,1074.36,1489.6,139,130.8,176.3333333
53.4,69.7,1077.84,1495.48,137,130,177.6666667
52.6,70.7,1038,1932.56,137,130.2,176.6666667
51,69.6,1174.32,1987.44,137,129.2,176
50.4,71,1211.52,2052.12,136,128.6,174.3333333
49.8,74.2,1554.72,1765.96,136,127.6,172.6666667
53.7,80.7,1705.68,1228.92,133,126,173
54.8,87.2,2048.52,1540.56,134,126.4,169.6666667
61.3,81,2197.2,697.76,130,123.6,173
58.6,81.3,2306.64,1809.08,131,126,173
59.8,78.7,2332.68,1834.56,129,125.6,173
55.8,78.7,2462.16,1526.84,127,125.2,170.6666667
53.6,77.7,2445,1032.92,125,125.6,172
53.7,79.2,2482.56,1211.28,127,126.4,172.6666667
54.3,81.7,2503.08,70,128,126.6,168
54.9,79.1,2416.08,70,125,122.4,171.3333333
55.5,77.3,2501.88,70,132,124.8,170
56.1,75.6,2479.08,1593.48,135,123.6,168.6666667
58.2,74.9,2455.08,1458.24,135,122.8,170.3333333
59.8,75.2,2493.36,1971.76,138,124.8,171
60.2,73.4,2509.2,2457.84,142,126.8,170.3333333
61.1,72,2492.16,2173.64,146,126.6,169
60.9,70.8,2473.2,1865.92,149,125.6,169.6666667
60.5,70.4,2485.92,2063.88,153,126.4,168
60.5,68.7,2462.52,1713.04,154,126,168.3333333
61.1,67.6,2463.6,1715,155,126.2,172
62.5,68,2509.56,2471.56,157,128.2,173.6666667
62.8,68,2508.96,2440.2,155,128.2,172.3333333
61.5,68.4,2506.8,2408.84,151,127.6,171.3333333
59.9,68.2,2498.28,2267.72,149,126,169.6666667
58.1,67,2464.92,1728.72,146,124.6,170.6666667
57.5,67.4,2500.32,2316.72,149,125,170.6666667
56.6,67.4,2508.84,2436.28,148,124.8,170.3333333
57.8,68.1,2509.32,2299.08,145,124.8,169.6666667
60.1,68.3,2501.88,2187.36,143,127.2,170.3333333
58.8,67.5,2499.72,2277.52,153,133.2,171.6666667
55.4,65.8,2445.6,1274,153,130.2,177.3333333
54.1,66.5,2503.32,2191.28,151,129.6,176
51.8,65.3,2466.24,1658.16,145,127.4,174.3333333
50.6,64.3,2434.68,1013.32,142,126.8,179.6666667
50.7,65.4,2497.08,2201.08,142,128.2,179
51.1,64.7,2475.36,1671.88,140,125.8,176.6666667
55.1,63.9,2436,1236.76,139,123.4,179
63.8,65.9,2393.4,2077.6,143,124.2,178
66.8,69.7,2022.48,1934.52,148,123.2,174.6666667
80.3,70.2,1311.36,913.36,153,120.8,177.6666667
84.1,71.9,1110.48,1781.64,165,122.6,176.3333333
77.4,71.1,966.48,1473.92,167,124.4,175.3333333
74.8,69.5,910.8,1324.96,169,125.6,177.3333333
73.5,69.5,1005.36,1967.84,169,127.6,177.6666667
71.4,69,996.36,1997.24,168,125.8,173.6666667
71.5,67.8,951.72,901.6,162,122.2,175
78.7,71.6,1097.28,1377.88,163,122.8,174.6666667
81.5,74.3,1034.28,1372,160,122.4,174
77.3,76.1,1016.64,1368.08,157,122,171.3333333
73.8,76.2,927.96,791.84,154,120.4,174
77.6,77.6,1107.6,1954.12,155,122.6,173.6666667
73.5,77.3,1322.76,1922.76,155,122.4,173
