lh,rh,ls,rs,w,ll,rl
118.144,77.3,2438.56,2427.04,360,7318.08,7317.84
124.321,79.35,2464.96,2453.12,354,7397.52,7397.28
120.345,77.4,2470.24,2458.96,352,7413.6,7413.36
113.458,75.15,2460.72,2449.68,352,7385.28,7384.56
109.198,73.2,2460.96,2450,350,7385.76,7385.04
104.37,71.05,2448,2437.84,324,7347.12,7344.96
98.122,68.65,2425.12,2414.56,320,7278,7266
96.134,68.3,2468.4,2459.12,326,7408.08,7381.68
89.744,66.8,2468.88,2459.28,320,7409.52,7291.68
82.999,65.95,2460.88,2451.12,308,7385.04,7206.96
77.177,64.3,2429.36,2421.36,322,7156.32,6942
74.692,64.3,2459.76,2451.36,292,7144.8,6811.2
72.278,63.15,2441.76,2432.88,294,7257.36,6554.4
71.497,63.6,2471.04,2462.56,294,6430.8,5774.88
69.225,63.35,2468.8,2458.64,298,5119.2,5177.52
66.598,62.4,2459.68,2449.36,290,4506,4440.96
65.604,60.65,2464.96,2455.04,276,3803.52,3431.04
66.598,57.35,2447.04,2438.32,274,2668.08,2975.04
70.077,55.75,2443.36,2434.64,272,1741.68,2708.88
70.645,55.9,2471.76,2463.12,262,1494.48,2419.92
68.799,55.2,2464.4,2454.48,266,1326.24,2243.76
68.728,55.3,2468.96,2458.56,252,1232.16,2110.08
68.87,54.85,2457.76,2448.56,240,1104,1895.52
68.515,54.05,2444.32,2436.24,232,985.68,1741.44
64.539,53,2445.2,2437.76,228,927.6,1643.76
61.273,52.4,2471.12,2463.92,222,881.52,1678.56
57.794,50.65,2470.48,2463.36,232,814.56,1643.04
54.386,48.35,2468.72,2461.76,220,737.28,1450.08
51.333,45.6,2457.2,2450.48,210,713.04,1304.64
50.055,44,2452.24,2445.36,194,680.88,1213.68
51.688,43.55,2476.08,2468.96,204,635.28,1109.04
52.682,42.2,2438.4,2431.76,224,580.8,975.12
52.611,41.85,2458.8,2452.16,222,553.44,912.72
51.191,41.25,2466.08,2459.52,224,548.88,865.92
49.913,40.5,2454.48,2447.76,240,529.44,844.08
49.842,39.95,2431.6,2424.64,290,538.56,840.48
53.889,40.65,2448.48,2441.28,350,623.76,817.44
65.746,42.2,2471.36,2463.92,394,664.8,835.2
88.537,45.95,2469.28,2461.92,444,738.24,1010.64
112.038,50.45,2468.32,2460,478,755.76,1038.72
118.073,50.5,2458.48,2450.32,512,916.32,1195.2
114.168,48.5,2438.4,2430.48,506,1562.16,2382.72
109.837,47.55,2451.92,2443.84,504,3631.92,5222.64
102.311,48.55,2413.36,2405.92,458,5139.84,6092.64
95.495,52.75,2454.08,2446.48,512,6279.6,6800.4
83.709,54.75,2458.16,2450.24,470,7048.32,7147.2
75.118,55.5,2457.28,2449.28,474,7239.36,7279.44
70.361,57.7,2428.72,2419.92,456,7288.08,7278.48
76.609,62.45,2437.12,2428.8,442,7313.28,7313.28
83.141,84.55,2469.44,2461.28,438,7410.24,7410.24
79.307,111.9,2468.64,2460.72,450,7408.08,7408.08
74.976,137.6,2439.44,2431.36,480,7320.24,7320.24
70.645,173.25,2432.96,2425.12,432,7300.8,7300.8
71.568,167.8,2441.04,2433.76,436,7325.52,7325.28
83.993,151.65,2457.6,2449.2,432,7374.72,7374.72
88.253,143.3,2469.84,2461.44,444,7411.44,7411.44
85.626,132.75,2468.24,2460.8,480,7407.12,7406.88
81.579,123.85,2462.48,2454.96,492,7389.36,7389.36
74.621,115.85,2461.12,2452.8,476,7385.28,7385.28
67.663,106.25,2427.2,2419.12,446,7283.52,7283.52
64.255,100.2,2436.32,2427.6,446,7311.12,7311.12
65.249,101,2469.52,2459.52,442,7410.72,7410.72
69.58,101.7,2469.76,2459.84,422,7411.68,7411.2
73.272,98.9,2443.2,2433.12,392,7331.76,7331.28
77.816,97.65,2461.92,2450.56,370,7388.16,7385.28
74.479,96.75,2427.68,2417.36,354,7285.2,7268.4
73.13,97.55,2461.68,2451.12,334,7387.2,7326.96
71.497,94.85,2469.76,2459.6,334,7411.44,7259.76
68.728,91.15,2458.8,2448.48,334,7379.04,7165.68
66.243,86.85,2463.36,2452.64,338,7392.48,6917.52
63.474,80.15,2453.92,2443.28,342,7284.96,6716.64
61.131,74.3,2430,2419.6,348,7211.28,6174.96
60.918,72.85,2486.88,2476.16,332,5901.6,5640
58.93,69.85,2466.16,2456.88,330,5160.96,4908.48
57.084,67.55,2458.4,2447.84,320,4233.84,4015.68
55.877,66,2466.4,2456.56,312,3779.04,3498
54.599,65.3,2452.56,2442.96,304,2048.64,3204.72
53.889,63.95,2439.2,2429.28,282,1618.08,2809.44
54.102,61.75,2467.28,2457.28,264,1437.36,2568.48
53.96,58.5,2470.72,2460.08,260,1318.08,2312.64
54.528,55.3,2464.48,2454.16,250,1195.68,2178.72
54.741,52.3,2446.96,2437.84,238,1155.6,1944
57.439,51.65,2464,2454.4,240,1032.48,1808.88
57.439,49.55,2440.32,2433.28,238,918.72,1663.92
55.167,48.15,2467.84,2460.64,218,861.36,1578.96
52.398,46.15,2467.92,2460.72,208,796.08,1464
51.12,44.6,2461.52,2454.56,202,729.12,1368.72
50.623,43.05,2463.76,2456.4,202,683.28,1247.76
49.487,41.05,2448.16,2441.44,196,646.56,1140.96
47.499,39.25,2429.68,2422.96,194,604.8,1068.24
46.647,38.85,2470.24,2463.36,218,586.32,1131.36
45.795,38.15,2469.68,2462.72,258,558,1050.24
45.866,37.05,2426.24,2419.2,294,549.12,924.24
49.771,38.15,2459.28,2452.24,314,629.76,906
56.871,39.5,2447.44,2440.32,334,696.24,938.64
70.716,43.4,2444.24,2437.28,366,803.04,927.12
94.643,48,2472.48,2464.16,402,902.64,978
109.624,51.1,2466.64,2458.4,412,1043.52,1126.8
133.551,51.9,2470.8,2462.4,484,1554.96,1471.44
153.289,50.5,2458.96,2450.48,424,2947.44,2875.68
144.13,48.8,2456.16,2448.24,386,4962.72,5261.52
125.741,46.6,2444.24,2436.24,392,6474.72,6185.28
114.736,45.25,2470.8,2463.2,458,7221.6,6934.8
98.264,42.85,2407.12,2399.36,436,7017.36,6959.28
88.253,43.25,2466.64,2458.24,448,7392.96,7295.76
82.928,43.3,2462.16,2453.2,444,7389.12,7378.32
85.839,43.55,2435.28,2426.96,452,7308.48,7308.24
96.276,46.35,2446.56,2438.4,426,7341.6,7341.6
101.317,51.4,2471.28,2462.88,448,7415.76,7415.76
95.069,57.3,2408.48,2399.92,458,7227.36,7227.12
95.495,69.3,2469.84,2462.08,390,7411.68,7411.68
104.654,74.4,2460.96,2453.36,384,7385.28,7385.04
103.092,79.45,2438.08,2430.8,422,7316.4,7316.64
100.678,83.9,2449.84,2442.4,380,7351.68,7351.68
102.808,81.85,2422.08,2414.96,360,7268.88,7268.88
107.991,80.05,2460.16,2452.8,358,7382.88,7382.88
111.896,76.8,2458.56,2450.8,360,7378.32,7378.08
106.5,73.95,2457.28,2450.24,350,7374.48,7374.24
99.684,71.1,2446.48,2438.88,320,7342.32,7340.4
96.205,69.05,2450.4,2442.8,304,7353.84,7351.2
93.791,67.55,2470.8,2463.52,298,7415.52,7392.72
87.401,63.25,2415.04,2407.76,298,7248.24,7192.8
85.342,62.05,2464.96,2457.04,274,7397.28,7222.56
80.443,59.5,2456.72,2448,282,7372.56,7116
77.532,56.95,2442.4,2434.96,288,7329.84,7000.32
77.603,55.9,2453.84,2445.92,296,7363.68,6754.32
75.97,55.2,2470.8,2463.2,306,7169.04,6164.4
74.976,54.4,2470.72,2461.84,304,7073.52,5771.28
