lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
3074.3,3077.9,2482.44,2049.19,120,161.04,160.8,109.354,268.302,274.198,412.482,494.926,256.61,392.008,468.487,556.787,556.802,765.708,977.675,553.915,762.752,957.056
3049.3,3075.6,2481.6,2049.19,120,159.6,159.6,109.386,268.321,274.266,406.66,480.207,256.598,389.055,456.653,553.862,553.861,762.894,977.656,553.826,762.856,957.038
3078.8,3050.7,2451.72,1878.7288,116,161.04,161.52,109.358,268.286,274.203,400.829,465.518,256.59,386.033,430.194,556.768,556.827,765.667,977.629,553.875,762.833,960.042
3083.9,3080,2484.96,2219.6512,116,161.52,162,109.396,268.247,271.413,400.734,444.896,256.552,385.994,409.681,553.906,556.789,762.865,977.67,553.801,759.882,957.05
3017.9,3085.2,2489.88,2204.3632,116,158.16,158.4,109.373,268.289,274.188,397.822,433.242,256.587,400.79,409.626,556.778,556.813,765.661,977.653,553.856,762.829,957.08
3083.3,3019.1,2412.12,1738.8436,108,161.76,161.52,109.421,268.274,274.256,430.137,424.282,253.632,406.658,389.118,553.892,556.784,765.654,977.636,553.791,762.868,957.108
3057.5,3084.7,2484.36,2262.4576,114,160.56,160.08,109.371,268.217,274.211,427.236,385.996,253.596,406.7,365.454,559.681,559.75,765.659,977.67,553.903,762.708,957.085
3046.7,3058.8,2451.84,2011.7344,112,160.08,159.6,109.343,265.439,271.313,421.384,365.441,253.58,409.484,353.678,553.908,556.787,765.667,977.681,553.807,762.73,957.07
3067.4,3047.9,2439.84,1910.0692,108,161.28,160.8,109.349,265.308,271.229,421.442,362.531,250.733,409.561,341.896,550.915,553.783,762.891,977.712,550.811,759.897,959.97
3090.6,3068.6,2463.36,2150.0908,110,162.96,162,109.363,262.44,268.449,421.374,341.966,250.67,409.49,333.026,550.893,550.937,765.667,977.704,547.98,759.864,960.031
3087.9,3092,2489.88,2219.6512,112,162.72,162,106.613,262.386,268.288,421.388,333.104,250.682,409.473,321.322,550.911,553.8,765.652,977.728,550.82,759.888,960.017
3054.7,3089.2,2486.88,2339.662,112,161.04,160.56,106.623,262.387,268.314,421.36,318.452,250.7,409.537,318.531,550.939,553.817,762.898,977.742,550.844,759.868,957.091
3081.7,3055.9,2447.04,1961.284,110,162.24,162.96,109.347,259.45,268.21,421.365,315.427,250.646,409.492,318.311,553.819,553.883,765.669,977.628,550.916,762.796,960.003
3022.5,3082.5,2479.68,2088.1744,114,160.32,160.8,106.626,256.511,265.319,421.335,312.411,250.646,409.581,318.395,553.817,553.877,762.892,977.66,550.895,762.717,957.129
3033.2,2973.5,2437.68,1988.8024,110,164.16,164.64,106.616,253.644,262.471,421.368,312.527,247.838,409.56,318.489,550.917,553.782,762.858,977.714,550.824,759.853,960.004
2080.5,2887.7,2516.88,2411.5156,116,162.72,165.12,106.595,265.42,271.254,421.414,365.613,253.657,412.484,362.407,553.832,553.87,762.831,977.679,550.956,759.832,957.123
1985.5,2533.6,2491.08,2176.8448,112,161.28,165.12,106.597,268.183,271.335,427.235,388.915,253.623,412.486,368.451,556.751,556.794,765.672,977.629,553.858,762.683,957.141
1359.6,1734.2,2460.12,1958.2264,110,159.6,163.68,106.579,268.241,271.381,433.019,391.992,256.527,412.505,385.994,556.808,556.84,765.713,977.572,553.911,762.694,957.143
1014.5,1024.4,2428.32,1756.4248,106,160.32,164.4,106.596,268.235,271.392,427.319,412.627,253.66,412.522,389.144,556.766,556.802,762.89,977.62,553.899,759.846,957.103
603.8,558.6,2457.96,1964.3416,110,159.84,163.92,106.568,268.211,271.324,400.752,430.17,256.54,380.198,409.621,553.831,553.868,765.66,977.587,550.937,759.864,960.013
373.2,395.9,2452.68,2087.41,110,159.36,164.64,106.545,268.188,271.28,389.012,436.213,253.641,368.393,397.859,553.894,556.787,765.698,977.581,553.789,762.743,962.911
242.7,328.5,2452.2,1974.2788,108,161.76,167.76,106.618,253.629,262.432,421.364,315.367,247.839,409.553,318.37,550.941,553.818,762.878,977.683,550.831,759.807,957.108
196.9,293.8,2505.72,2423.746,112,158.16,164.16,106.602,253.617,262.439,421.379,315.329,247.86,409.549,318.258,550.896,550.951,762.822,977.67,547.983,759.815,957.091
184.9,268.6,2430.72,1909.3048,106,160.8,166.56,106.582,256.574,265.337,421.381,315.371,250.654,409.55,318.274,550.849,550.889,762.789,977.694,547.939,759.894,959.972
178.9,259.9,2491.68,2374.06,110,160.32,165.84,106.586,259.448,268.2,421.365,315.335,250.634,409.529,318.377,550.921,553.793,762.88,977.655,550.828,759.776,957.07
183.4,245.7,2489.88,2414.5732,110,158.88,163.92,106.572,256.615,265.422,418.48,321.349,250.644,409.56,321.296,553.774,553.861,762.819,977.62,550.869,756.939,954.172
184.9,234.4,2458.56,2345.0128,108,160.8,165.6,106.57,262.456,268.292,421.425,333.057,253.606,409.585,324.311,550.932,553.835,765.685,977.682,550.817,756.908,957.075
180,227.2,2504.64,2638.5424,112,156.24,160.56,106.581,265.344,268.441,424.298,341.979,253.632,409.617,336.052,553.832,553.914,765.693,977.613,550.919,759.769,957.098
182.2,215.5,2400.84,1978.8652,106,160.56,164.88,106.595,265.364,271.199,424.324,362.421,253.599,409.701,341.912,553.779,553.852,765.653,977.658,550.88,756.908,957.039
173.5,217,2502.72,2627.0764,114,158.88,162.96,106.565,268.188,271.274,397.798,459.792,256.53,374.276,412.61,553.787,553.834,765.699,977.652,550.89,759.828,957.138
169.8,210.2,2469.12,2413.0444,112,158.64,162.24,106.582,268.196,271.326,403.772,477.241,253.698,383.118,436.155,553.859,553.908,765.696,977.661,553.766,759.79,962.923
